0000	Kulusiinuk	clip15	00:00:44.41	00:00:45.81	SY970B1972d.m4a
0001	Kulusiq.	clip16	00:00:47.57	00:00:48.56	SY970B1972d.m4a
0002	Ata.	clip17	00:00:52.47	00:00:53.35	SY970B1972d.m4a
0003	Naa.	clip18	00:00:55.51	00:00:56.24	SY970B1972d.m4a
0004	Qikmiq.	clip19	00:00:59.84	00:01:00.95	SY970B1972d.m4a
0005	Una Kulusiim atakaa.	clip20	00:01:03.51	00:01:06.16	SY970B1972d.m4a
0006	Una Kulusiim naakaa.	clip21	00:01:11.31	00:01:13.88	SY970B1972d.m4a
0007	Una Atam qikmiqaa.	clip22	00:01:17.32	00:01:19.63	SY970B1972d.m4a
0008	Una Kulusiim qikmiqaa.	clip23	00:01:24.92	00:01:27.59	SY970B1972d.m4a
0009	Tagi, Kulusiq! Tagi!	clip24	00:01:31.24	00:01:34.68	SY970B1972d.m4a
0010	Kulusiq tagiiq.	clip27	00:01:39.02	00:01:41.17	SY970B1972d.m4a
0011	Ata tagiiq.	clip28	00:01:44.76	00:01:46.46	SY970B1972d.m4a
0012	Qikmiqlu tagiiq.	clip29	00:01:52.25	00:01:54.24	SY970B1972d.m4a
0013	Neghi, Kulusiq, neghi!	clip30	00:01:57.45	00:01:59.76	SY970B1972d.m4a
0014	Neghigu una.	clip31	00:02:04.31	00:02:05.78	SY970B1972d.m4a
0015	Kulusiq neghtuq.	clip32	00:02:08.72	00:02:10.40	SY970B1972d.m4a
0016	Ata neghtuq.	clip33	00:02:15.31	00:02:16.66	SY970B1972d.m4a
0017	Naa neghtuq.	clip34	00:02:18.88	00:02:20.33	SY970B1972d.m4a
0018	Atankuk naankuk neghtuk.	clip35	00:02:26.98	00:02:29.40	SY970B1972d.m4a
0019	Neghi, qikmiq, neghi!	clip36	00:02:32.88	00:02:35.08	SY970B1972d.m4a
0020	Qikmiq neghtuq.	clip37	00:02:40.71	00:02:42.31	SY970B1972d.m4a
0021	Atam qikmii neghtuq.	clip38	00:02:46.12	00:02:48.24	SY970B1972d.m4a
0022	Kulusiimllu qikmii neghtuq.	clip39	00:02:53.92	00:02:56.66	SY970B1972d.m4a
